pertanyaan,jawaban
"apa itu compiler?","Compiler adalah program yang menerjemahkan kode sumber menjadi kode mesin."
"apa itu interpreter?","Interpreter menjalankan kode baris per baris tanpa perlu kompilasi."
"apa perbedaan compiler dan interpreter?","Compiler menerjemahkan seluruh program sekaligus, interpreter menjalankan baris demi baris."
"apa itu software engineer?","Orang yang merancang dan mengembangkan perangkat lunak."
"apa tugas utama software engineer?","Menganalisis kebutuhan, merancang sistem, menulis kode, dan melakukan pengujian."
"apa itu front-end?","Bagian dari aplikasi yang berinteraksi langsung dengan pengguna."
"apa itu back-end?","Bagian aplikasi yang mengelola logika dan data di server."
"apa bahasa pemrograman front-end?","HTML, CSS, dan JavaScript."
"apa bahasa pemrograman back-end?","PHP, Python, Node.js, dan Java."
"apa itu API?","API adalah antarmuka yang menghubungkan satu sistem dengan sistem lain."
"apa itu framework?","Framework adalah kerangka kerja untuk mempermudah pembuatan aplikasi."
"contoh framework?","Laravel, React, Django, dan Spring Boot."
"apa itu version control?","Sistem yang mengatur perubahan kode, seperti Git."
"apa itu Git?","Git adalah sistem version control untuk melacak perubahan dalam kode sumber."
"apa itu GitHub?","Platform berbasis web untuk menyimpan dan berbagi proyek Git."
"apa itu repository?","Tempat penyimpanan kode sumber di Git."
"apa itu commit?","Penyimpanan perubahan dalam repository."
"apa itu branch?","Cabang dalam proyek untuk mengerjakan fitur tanpa mengganggu kode utama."
"apa itu merge?","Menggabungkan perubahan dari branch lain ke branch utama."
"apa itu pull request?","Permintaan untuk menggabungkan perubahan ke branch utama di GitHub."
"apa itu agile?","Metode pengembangan perangkat lunak yang fleksibel dan kolaboratif."
"apa itu scrum?","Kerangka kerja agile yang membagi proyek menjadi sprint-sprint."
"apa itu sprint?","Periode waktu singkat untuk menyelesaikan bagian tertentu dari proyek."
"apa itu waterfall?","Model pengembangan perangkat lunak secara berurutan dari analisis hingga pemeliharaan."
"apa perbedaan agile dan waterfall?","Agile lebih fleksibel, waterfall lebih terstruktur dan berurutan."
"apa itu SDLC?","Software Development Life Cycle, tahapan pengembangan perangkat lunak."
"tahapan SDLC ada apa saja?","Perencanaan, analisis, desain, implementasi, pengujian, dan pemeliharaan."
"apa itu analisis sistem?","Proses memahami kebutuhan pengguna dan sistem yang akan dibuat."
"apa itu desain sistem?","Tahap merancang struktur dan alur kerja perangkat lunak."
"apa itu implementasi?","Tahap menulis kode berdasarkan desain sistem."
"apa itu testing?","Tahap pengujian untuk memastikan program bebas dari bug."
"apa itu maintenance?","Pemeliharaan sistem setelah dirilis agar tetap berfungsi baik."
"apa itu UML?","Unified Modeling Language, alat bantu untuk memodelkan sistem."
"apa itu diagram kelas?","Diagram UML yang menggambarkan struktur kelas dalam sistem."
"apa itu diagram use case?","Diagram yang menggambarkan interaksi antara pengguna dan sistem."
"apa itu ERD?","Entity Relationship Diagram, menggambarkan hubungan antar tabel dalam database."
"apa itu normalisasi database?","Proses mengatur data agar tidak terjadi duplikasi."
"apa itu primary key?","Kunci utama untuk mengidentifikasi baris data secara unik."
"apa itu foreign key?","Kunci yang menghubungkan tabel satu dengan lainnya."
"apa itu query?","Perintah untuk mengakses data dalam database."
"contoh query SQL sederhana?","SELECT * FROM siswa;"
"apa itu CRUD?","Create, Read, Update, Delete — operasi dasar dalam database."
"apa itu UI?","User Interface, tampilan yang dilihat pengguna."
"apa itu UX?","User Experience, pengalaman pengguna saat menggunakan sistem."
"apa itu responsive design?","Desain web yang bisa menyesuaikan tampilan di berbagai perangkat."
"apa itu hosting?","Tempat menyimpan file website agar bisa diakses online."
"apa itu domain?","Nama unik untuk mengakses website, misalnya google.com."
"apa itu local server?","Server yang dijalankan di komputer lokal, seperti XAMPP."
"apa itu XAMPP?","Aplikasi yang menyediakan Apache, MySQL, PHP, dan Perl untuk pengembangan lokal."
"apa itu localhost?","Alamat standar untuk server lokal, biasanya 127.0.0.1."
"apa itu API key?","Kunci unik untuk mengakses layanan API."
"apa itu JSON?","Format data ringan untuk pertukaran data, berbasis teks."
"apa itu XML?","Format data mirip HTML untuk menyimpan dan mengirimkan informasi."
"apa itu encryption?","Proses mengubah data menjadi bentuk yang tidak dapat dibaca tanpa kunci."
"apa itu hashing?","Proses mengubah data menjadi kode unik tetap, biasanya untuk keamanan password."
"apa itu cloud computing?","Teknologi yang memungkinkan penyimpanan dan akses data melalui internet."
"contoh layanan cloud?","Google Cloud, AWS, Azure."
"apa itu IoT?","Internet of Things, koneksi antar perangkat melalui internet."
"apa itu AI?","Artificial Intelligence, kecerdasan buatan untuk membuat sistem yang bisa belajar."
"apa itu machine learning?","Cabang AI yang memungkinkan sistem belajar dari data."
"apa itu data mining?","Proses menggali informasi dari kumpulan data besar."
"apa itu big data?","Kumpulan data yang sangat besar dan kompleks untuk dianalisis."
"apa itu cybersecurity?","Bidang yang melindungi sistem komputer dari ancaman digital."
"apa itu malware?","Perangkat lunak berbahaya seperti virus dan trojan."
"apa itu firewall?","Sistem keamanan yang mengatur lalu lintas jaringan."
"apa itu network?","Jaringan yang menghubungkan komputer satu dengan lainnya."
"apa itu IP address?","Alamat unik setiap perangkat di jaringan."
"apa itu protocol?","Aturan komunikasi dalam jaringan komputer."
"apa itu HTTP?","Protocol untuk mentransfer data web."
"apa itu HTTPS?","Versi aman dari HTTP dengan enkripsi SSL."
"apa itu SSL?","Secure Socket Layer, teknologi keamanan untuk komunikasi di internet."
"apa itu CMS?","Content Management System, untuk mengelola konten web."
"contoh CMS?","WordPress, Joomla, dan Drupal."
"apa itu UI design tools?","Perangkat lunak untuk membuat tampilan aplikasi, seperti Figma atau Adobe XD."
"apa itu IDE?","Integrated Development Environment, alat untuk menulis dan mengelola kode."
"contoh IDE?","Visual Studio Code, IntelliJ IDEA, Eclipse."
"apa itu variable dalam pemrograman?","Tempat menyimpan nilai sementara dalam program."
"apa itu tipe data?","Jenis nilai yang dapat disimpan dalam variabel, seperti integer, string, boolean."
"apa itu array?","Kumpulan data dengan tipe yang sama dalam satu variabel."
"apa itu function?","Kumpulan kode yang melakukan tugas tertentu."
"apa itu parameter dalam function?","Nilai yang dikirimkan ke dalam fungsi."
"apa itu return?","Nilai yang dikembalikan oleh fungsi."
"apa itu class?","Blueprint atau cetakan untuk membuat objek."
"apa itu object?","Hasil dari instansiasi class."
"apa itu inheritance?","Fitur OOP untuk mewarisi properti dari class lain."
"apa itu polymorphism?","Kemampuan objek untuk memiliki banyak bentuk."
"apa itu encapsulation?","Menyembunyikan detail data dari luar class."
"apa itu abstraction?","Menyederhanakan kompleksitas dengan menampilkan fitur penting saja."
"apa itu OOP?","Object Oriented Programming, paradigma berbasis objek."
"contoh bahasa OOP?","Java, Python, C++."
"apa itu event handling?","Proses menangani aksi pengguna seperti klik atau input."
"apa itu syntax error?","Kesalahan penulisan kode."
"apa itu logic error?","Kesalahan logika yang membuat hasil program salah."
"apa itu runtime error?","Kesalahan yang terjadi saat program dijalankan."
"apa itu unit testing?","Pengujian pada bagian kecil dari program."
"apa itu integration testing?","Pengujian untuk memastikan modul bekerja sama dengan baik."
"apa itu system testing?","Pengujian keseluruhan sistem perangkat lunak."
"apa itu acceptance testing?","Pengujian oleh pengguna untuk memastikan sistem sesuai kebutuhan."
"apa itu performance testing?","Pengujian untuk mengukur kecepatan dan efisiensi sistem."
"apa itu security testing?","Pengujian untuk memastikan keamanan sistem."
"apa itu usability testing?","Pengujian untuk menilai kemudahan penggunaan sistem."
"apa itu documentation?","Catatan tentang cara kerja dan penggunaan sistem."
"apa itu requirement?","Kebutuhan atau spesifikasi yang harus dipenuhi sistem."
"apa itu functional requirement?","Kebutuhan yang mendefinisikan fungsi sistem."
"apa itu non-functional requirement?","Kebutuhan seperti keamanan, performa, dan keandalan."
"apa itu project management?","Proses mengatur waktu, biaya, dan sumber daya proyek."
"apa itu gantt chart?","Diagram batang untuk menjadwalkan tugas proyek."
"apa itu risk management?","Proses mengidentifikasi dan mengelola risiko proyek."
"apa itu stakeholder?","Pihak yang berkepentingan terhadap proyek."
"apa itu deliverable?","Hasil akhir dari suatu tahap proyek."
"apa itu milestone?","Titik penting dalam proses pengembangan proyek."
"apa itu documentation tools?","Alat bantu menulis dokumentasi seperti Notion atau Confluence."
"apa itu software requirement specification?","Dokumen yang berisi kebutuhan sistem perangkat lunak."
"apa itu prototype?","Versi awal dari sistem untuk diuji coba."
"apa itu wireframe?","Sketsa dasar tampilan aplikasi."
"apa itu mockup?","Desain visual dari tampilan aplikasi."
"apa itu responsive web design?","Desain web yang menyesuaikan berbagai ukuran layar."
"apa itu UI testing?","Pengujian terhadap tampilan antarmuka pengguna."
"apa itu database normalization?","Teknik mengorganisir data agar efisien."
"apa itu indexing di database?","Metode mempercepat pencarian data."
"apa itu data integrity?","Konsistensi dan keakuratan data dalam sistem."
"apa itu backup data?","Menyimpan salinan data untuk mencegah kehilangan."
"apa itu restore data?","Mengembalikan data dari hasil backup."
"apa itu open source software?","Perangkat lunak yang kodenya dapat digunakan dan dimodifikasi bebas."
"apa itu proprietary software?","Perangkat lunak berlisensi yang tidak bebas diubah."
"apa itu deployment?","Proses menempatkan aplikasi agar bisa digunakan pengguna."
"apa itu continuous integration?","Praktik menggabungkan kode secara rutin untuk menghindari konflik."
"apa itu continuous deployment?","Otomatis mengirimkan kode ke server produksi setelah diuji."
"apa itu API testing?","Pengujian untuk memastikan API bekerja dengan benar."
"apa itu software quality assurance?","Proses menjamin kualitas perangkat lunak."
"apa itu KPI dalam proyek?","Key Performance Indicator, ukuran keberhasilan proyek."
"apa itu refactoring?","Memperbaiki kode tanpa mengubah fungsi agar lebih efisien."
"apa itu scalability?","Kemampuan sistem menangani peningkatan beban kerja."
"apa itu maintainability?","Kemudahan dalam memperbaiki atau memperbarui sistem."
"apa itu reliability?","Kemampuan sistem berfungsi tanpa gagal dalam waktu tertentu."
"apa itu portability?","Kemampuan sistem berjalan di berbagai platform."
"apa itu usability?","Tingkat kemudahan pengguna dalam menggunakan sistem."
"apa itu performance metrics?","Ukuran untuk menilai kinerja sistem."
"apa itu cache?","Penyimpanan sementara untuk mempercepat akses data."
"apa itu cookie?","Data kecil yang disimpan di browser pengguna."
"apa itu session?","Periode interaksi pengguna dengan sistem."
"apa itu framework Laravel?","Framework PHP untuk pengembangan web modern."
"apa itu React JS?","Library JavaScript untuk membangun UI interaktif."
"apa itu Node.js?","Runtime JavaScript di sisi server."
"apa itu REST API?","API berbasis HTTP untuk komunikasi antara sistem."
"apa itu CRUD API?","API yang memungkinkan operasi Create, Read, Update, Delete."
"apa itu unit test?","Tes untuk satu bagian kecil kode."
"apa itu full stack developer?","Pengembang yang menguasai front-end dan back-end."
"apa itu database relational?","Database yang menggunakan tabel yang saling berelasi."
"apa itu NoSQL?","Database non-relasional yang fleksibel seperti MongoDB."
"apa itu MongoDB?","Database NoSQL berbasis dokumen."
"apa itu SQL?","Structured Query Language, bahasa untuk mengelola database relasional."
"apa itu foreign key constraint?","Aturan yang menjaga hubungan antar tabel."
"apa itu schema database?","Struktur organisasi data dalam database."
"apa itu trigger di database?","Perintah otomatis yang berjalan saat kondisi tertentu terjadi."
"apa itu view di SQL?","Tabel virtual berdasarkan hasil query."
"apa itu index di SQL?","Fitur untuk mempercepat pencarian data."
"apa itu rollback di database?","Membatalkan perubahan yang belum disimpan."
"apa itu commit di database?","Menyimpan perubahan data secara permanen."
"apa itu transaction di database?","Serangkaian operasi database yang dijalankan bersama."
"apa itu concurrency control?","Mengatur akses data oleh banyak pengguna sekaligus."
"apa itu software testing tools?","Alat bantu seperti Selenium, JUnit, atau Postman."
"apa itu CI/CD pipeline?","Alur otomatis dari pembangunan, pengujian, hingga deployment aplikasi."
"apa itu ekosistem?","kesatuan antara makhluk hidup dan lingkungannya"
"apa itu fotosintesis?","proses tumbuhan membuat makanan dengan bantuan cahaya matahari"
"apa nama lapisan terluar bumi?","kerak bumi"
"apa itu gempa bumi?","getaran di permukaan bumi akibat pergeseran lempeng"
"apa itu vulkanologi?","ilmu yang mempelajari gunung berapi"
"apa nama benua yang paling dingin?","Antartika"
"apa itu oksigen?","gas yang dibutuhkan makhluk hidup untuk bernapas"
"apa nama ilmiah air?","H2O"
"apa itu awan?","kumpulan uap air di atmosfer"
"apa itu hujan asam?","hujan yang mengandung zat kimia berbahaya akibat polusi"
"apa itu planet?","benda langit yang mengorbit bintang"
"apa itu tata surya?","sistem planet yang mengelilingi matahari"
"apa nama planet terjauh dari matahari?","Neptunus"
"apa itu bulan purnama?","fase ketika bulan tampak bulat penuh"
"apa itu bintang?","bola gas panas yang memancarkan cahaya sendiri"
"apa itu galaksi?","kumpulan bintang, gas, dan debu yang membentuk sistem besar di alam semesta"
"apa nama galaksi tempat bumi berada?","Bima Sakti"
"apa itu energi matahari?","energi panas dan cahaya yang berasal dari matahari"
"apa itu energi terbarukan?","energi yang dapat diperbaharui secara alami"
"apa itu lapisan ozon?","lapisan pelindung bumi dari sinar ultraviolet"
"apa itu tsunami?","gelombang besar akibat gempa di dasar laut"
"apa itu hutan hujan tropis?","hutan lebat di daerah tropis yang banyak hujan"
"apa itu polusi udara?","pencemaran udara oleh zat berbahaya"
"apa itu daur air?","proses perputaran air dari bumi ke atmosfer dan kembali lagi"
"apa itu konservasi?","usaha melindungi dan menjaga alam"
"apa itu fotosfer?","lapisan permukaan matahari yang memancarkan cahaya"
"apa itu energi listrik?","energi yang dihasilkan dari aliran muatan listrik"
"apa itu gaya magnet?","gaya tarik atau tolak yang dihasilkan oleh magnet"
"apa itu gravitasi bulan?","gaya tarik bulan yang menyebabkan pasang surut air laut"
"apa itu benua Afrika terkenal dengan?","sabana dan Gurun Sahara"
"apa itu dinosaurus?","reptil purba yang hidup jutaan tahun lalu"
"apa itu fosil?","sisa makhluk hidup yang membatu"
"apa itu arkeologi?","ilmu yang mempelajari peninggalan masa lalu"
"apa itu sejarah?","ilmu yang mempelajari peristiwa masa lampau"
"siapa penemu api menurut legenda?","manusia purba"
"siapa penemu roda?","bangsa Sumeria kuno"
"siapa raja pertama Mesir kuno?","Narmer (Menes)"
"apa itu piramida?","bangunan makam raja Mesir kuno"
"siapa Ratu Mesir yang terkenal?","Cleopatra"
"apa itu candi?","bangunan tempat ibadah kuno dari batu"
"siapa yang membangun Candi Borobudur?","Dinasti Syailendra"
"apa itu prasasti?","tulisan kuno di batu atau logam"
"apa nama kerajaan Hindu pertama di Indonesia?","Kutai"
"apa nama kerajaan Buddha di Jawa Tengah?","Sailendra"
